# Naval bases and naval harbours. Source: OpenStreetMap (ODbL), via tools/poi/fetch_osm.py.
# GENERATED by tools/poi/build_poi.py -- do not hand-edit; edit the generator or refetch.
# Codes are derived from the site name, not from UN/LOCODE: OSM carries no code for these.
# Sites without a Latin-script name are dropped rather than given an invented label.
# Columns: code,lat,lon,type,flags   (type 1 = port, flags 1 = military -> warship glyph)
code,lat,lon,type,flags
HERON,11.62142,43.14946,1,1
HERRON,28.41603,-80.62220,1,1
HICKOR,59.60302,-151.41116,1,1
HIGH3R,10.40980,107.12355,1,1
HIGHTS,24.84966,67.05063,1,1
HILL,21.37132,-157.89856,1,1
HISTOR,45.30573,148.39233,1,1
HOLT,-21.81810,114.16932,1,1
HONDO,6.89808,122.08637,1,1
HONDUR,14.05843,-87.25177,1,1
HONDUR,17.40522,-83.94230,1,1
HORSLE,18.45970,-66.11548,1,1
HOUSIN,36.79827,-76.33290,1,1
HOVERC,23.60402,68.49440,1,1
HUATUL,15.74874,-96.13247,1,1
HUENEM,34.16030,-119.20835,1,1
IBIS,27.46411,-80.30640,1,1
IBIS,38.94904,-74.88939,1,1
IITNI,-7.20758,112.75407,1,1
INDIAN,9.79648,76.88838,1,1
INDIAN,17.72601,83.34102,1,1
INDIO,-35.34994,-57.29010,1,1
INFANT,-11.74383,-77.16665,1,1
INSTRU,48.37031,-4.52492,1,1
INTEND,-34.62590,-58.35676,1,1
INVEST,38.08468,-122.26974,1,1
IQUIQU,-20.20629,-70.14739,1,1
IRELAN,51.69841,-9.48013,1,1
IRIRAN,-39.50089,175.67117,1,1
ISLAND,-22.92927,-43.84791,1,1
ISLAND,-12.08162,-77.21322,1,1
ISLAND,32.69866,-117.20426,1,1
ISLAND,32.92131,-118.48461,1,1
ISLAND,33.02276,-118.58769,1,1
ISLAND,33.23975,-119.45914,1,1
ISLAND,33.24997,-119.50022,1,1
ISLAND,41.25531,-72.00632,1,1
ISLAND,48.05296,-122.72473,1,1
ISLAND,48.34206,-122.65892,1,1
ISLEMA,53.38744,-2.98099,1,1
ITAJAI,-26.90635,-48.65361,1,1
JACINT,-0.78266,-80.51795,1,1
JACKSO,30.21969,-81.68478,1,1
JACKSO,30.23144,-81.92279,1,1
JAMES,32.85289,-79.94387,1,1
JEFFER,36.85271,-76.29833,1,1
JINNAH,25.19903,64.65199,1,1
JULY,31.49330,26.57259,1,1
KADAMB,14.77700,74.13657,1,1
KALAEL,21.32550,-158.11621,1,1
KALMUN,7.42230,81.83113,1,1
KALMUN,9.59975,80.05366,1,1
KARANJ,18.89850,72.91927,1,1
KEYPOR,47.69890,-122.61961,1,1
KIEL,54.32476,10.16512,1,1
KIGAMB,-6.83390,39.30436,1,1
KILLIC,18.53318,-72.37966,1,1
KINABA,6.08593,116.10464,1,1
KINGFI,30.17039,-85.75453,1,1
KINGSB,30.79266,-81.52812,1,1
KINGSV,27.49375,-97.81139,1,1
KONGSR,55.82502,11.73477,1,1
KORDON,59.45705,24.66291,1,1
KOREA,35.09743,129.10637,1,1
KORSR,55.33157,11.13032,1,1
KOSONG,38.73398,128.21043,1,1
KURE,34.23762,132.55862,1,1
KUWAIT,28.86484,48.27633,1,1
LABORA,19.18371,73.20820,1,1
LABORA,38.65901,-76.53213,1,1
LABORA,38.82432,-77.02250,1,1
LADJI,6.38939,2.43404,1,1
LAGOS,6.44300,3.43999,1,1
LAKE,35.41861,-117.40651,1,1
LAKE,35.58979,-117.62114,1,1
LAKE,35.72471,-117.67823,1,1
LAKE,35.75191,-117.40717,1,1
LAKEHU,40.03115,-74.36970,1,1
LAKES,42.30701,-87.85218,1,1
LAMOUR,46.36601,-98.33555,1,1
LANDIV,48.52824,-4.14634,1,1
LANKA,8.54886,81.23504,1,1
LANTAM,0.90752,104.43995,1,1
LARGO,42.61412,-70.65078,1,1
LAWSON,38.94944,-74.89070,1,1
LAYBER,30.02284,-93.99824,1,1
LAZARE,43.08275,5.91555,1,1
LEDESM,14.48179,120.91520,1,1
LEMAN,46.50763,6.61929,1,1
LEMOOR,36.24420,-119.88225,1,1
LEMOOR,36.26279,-119.89245,1,1
LEMOOR,36.31352,-119.92340,1,1
LIBERT,58.38329,-134.64983,1,1
LIFEBO,49.09306,-123.09068,1,1
LINK,14.82220,120.36369,1,1
LION,48.72215,-122.51077,1,1
LISBOA,38.66422,-9.15554,1,1
LISBON,38.66067,-9.14269,1,1
LIVORN,43.52616,10.30812,1,1
LOCODJ,5.31414,-4.03240,1,1
LOGIST,12.18932,102.31701,1,1
LOMA,32.68897,-117.24518,1,1
LOMBRU,-2.04052,147.37288,1,1
LONDON,41.39817,-72.08627,1,1
LONGPO,18.21170,109.68500,1,1
LONGUE,48.30178,-4.51723,1,1
LOUIS,14.59984,-61.06605,1,1
LOUIS,38.74244,-90.37399,1,1
LUALUA,21.42814,-158.15618,1,1
LUALUA,21.44120,-158.13156,1,1
LUANDA,-8.78595,13.23391,1,1
LUZON,13.16321,123.75459,1,1
LYNETT,55.69630,12.61075,1,1
MADLAL,58.94835,5.66772,1,1
MAGAZI,13.35472,144.69316,1,1
MAGAZI,24.58105,-81.79729,1,1
MAGAZI,44.70611,-63.61893,1,1
MAGLUY,5.06986,119.88544,1,1
MAHAJA,-15.71477,46.34152,1,1
MAHANA,6.77479,81.81811,1,1
MAHON,39.89522,4.26922,1,1
MAKO,38.94871,-74.89049,1,1
MAKRAN,25.29495,63.34221,1,1
MANTA,-0.95570,-80.68712,1,1
MARCON,37.22960,15.21728,1,1
MARIN,42.39583,-8.70709,1,1
MARINA,7.09094,-70.74338,1,1
MARINE,-25.26941,-57.71534,1,1
MARINE,37.06804,7.38645,1,1
MARINE,54.69004,8.99748,1,1
MARINH,-10.77542,40.48224,1,1
MARINH,-1.39437,-48.48911,1,1
MARINH,-0.13663,-67.08463,1,1
MARLIN,30.17031,-85.75544,1,1
MASEFI,-21.13929,-175.17699,1,1
MATAL,-0.18314,-80.28846,1,1
MATAMO,25.74094,-97.55464,1,1
MAWYAW,16.44051,97.61414,1,1
MAYOTT,-12.78166,45.25523,1,1
MAYPOR,30.37696,-81.42691,1,1
MCCORM,55.33065,-131.62354,1,1
MCSHAN,38.94922,-74.88944,1,1
MECHAN,40.22964,-76.98669,1,1
MEDICA,36.84565,-76.30869,1,1
MEDICI,50.78040,-1.14116,1,1
MEENAM,12.99762,80.18236,1,1
MERCHA,59.98479,29.75740,1,1
MERIDI,32.55665,-88.58845,1,1
MERITI,-22.80429,-43.29664,1,1
MERRYF,50.96499,-2.93890,1,1
METROP,-33.44177,-70.68962,1,1
METROS,38.07256,-0.66537,1,1
MEXICO,17.95090,-102.18325,1,1
MEXICO,18.21403,-87.84218,1,1
MEZQUI,25.24391,-97.44379,1,1
MICHEL,41.52600,-70.67477,1,1
MIDWAY,38.49847,-77.37256,1,1
MIGUEL,14.95790,120.06693,1,1
MILDUR,-34.27661,141.60073,1,1
MILITA,-25.27964,-57.68120,1,1
MILITA,-17.87502,-63.11551,1,1
MILITA,-0.20212,-74.77754,1,1
MILITA,16.03151,-93.69264,1,1
MILITA,17.95129,-102.18927,1,1
MILITA,20.65941,-105.24281,1,1
MILITA,40.59374,17.80723,1,1
MILITA,48.37094,-4.50548,1,1
MINO,42.04766,-8.64038,1,1
MOASHI,23.78824,90.39123,1,1
MOBILE,44.82895,-87.38037,1,1
MOLLEN,-17.00973,-72.03376,1,1
MONTER,38.17660,-122.39317,1,1
MORAY,29.26531,-89.95808,1,1
MORAY,30.38767,-81.43519,1,1
MORENO,-0.90392,-89.61672,1,1
MORILL,48.37292,-4.51822,1,1
MOROSI,45.42581,12.36511,1,1
MTONGW,-4.06645,39.62988,1,1
MUGU,34.11406,-119.11265,1,1
MUMBAI,18.92712,72.83904,1,1
MYANMA,16.69393,96.22871,1,1
MYLADD,9.81128,80.07063,1,1
NACION,-34.89045,-56.28610,1,1
NACION,-32.98032,-58.06209,1,1
NACION,12.55568,-81.70400,1,1
NADEN,48.43343,-123.42052,1,1
NAGAR,18.91042,72.81017,1,1
NAMAER,38.80121,128.13908,1,1
NAMIBE,-15.19507,12.14441,1,1
NANISI,73.06820,-84.54775,1,1
NAPIER,18.46006,-66.11547,1,1
NAPLES,40.88088,14.29056,1,1
NAPOLI,40.83553,14.25441,1,1
NARWHA,33.60250,-117.88375,1,1
NATCHE,31.54307,-91.43362,1,1
NATION,-0.73159,8.79517,1,1
NATION,48.99084,2.08872,1,1
NAUSHO,59.60456,-151.42012,1,1
NAVAL,-34.88230,-56.04045,1,1
NAVAL,-34.65665,-54.14357,1,1
NAVAL,-18.46155,-70.29767,1,1
NAVAL,-16.51665,-68.12326,1,1
NAVAL,-12.69745,34.81087,1,1
