# Naval bases and naval harbours. Source: OpenStreetMap (ODbL), via tools/poi/fetch_osm.py.
# GENERATED by tools/poi/build_poi.py -- do not hand-edit; edit the generator or refetch.
# Codes are derived from the site name, not from UN/LOCODE: OSM carries no code for these.
# Sites without a Latin-script name are dropped rather than given an invented label.
# Columns: code,lat,lon,type,flags   (type 1 = port, flags 1 = military -> warship glyph)
code,lat,lon,type,flags
BRIGAD,69.51672,31.30892,1,1
BROMMY,53.54458,8.58729,1,1
BRONSO,30.38384,-87.41456,1,1
BROWN,-34.52886,-58.46693,1,1
BROWN,32.85070,-79.94215,1,1
BRUNSW,45.27119,-66.07601,1,1
BUFFAL,42.89821,-78.90060,1,1
BUNKER,42.42378,18.54923,1,1
BUSCH,-20.06558,-58.03623,1,1
CABANI,27.70201,-97.43906,1,1
CACERE,-16.06367,-57.68833,1,1
CADETS,-37.82432,145.09151,1,1
CADETS,-34.72725,135.86449,1,1
CADETS,-33.84881,151.16407,1,1
CADETS,-32.92371,151.78997,1,1
CALDER,18.21603,-70.51303,1,1
CALLAO,-12.03421,-77.14228,1,1
CAMP,6.07329,80.16804,1,1
CAMP,7.01690,79.90922,1,1
CAMP,7.96897,80.71223,1,1
CAMP,14.98735,120.07297,1,1
CAMP,32.83419,34.98300,1,1
CAMPUS,32.74808,-117.20151,1,1
CANADI,46.80800,-71.20359,1,1
CANARI,28.11384,-15.41962,1,1
CANAVE,28.41600,-80.60043,1,1
CAPITA,-42.91465,-72.71181,1,1
CAPITA,-0.43529,-90.28561,1,1
CAPITA,40.48048,17.22049,1,1
CAPITA,45.65371,13.76909,1,1
CARACA,1.80317,-61.13235,1,1
CARAQU,-0.61196,-80.42391,1,1
CARCAJ,-17.53898,-66.05624,1,1
CAREER,33.83083,-118.27925,1,1
CAREER,39.51167,-104.77190,1,1
CARMEN,20.62158,-87.07522,1,1
CARRAC,36.49056,-6.17522,1,1
CARTAG,37.60083,-0.99186,1,1
CATARI,-27.59622,-48.56842,1,1
CELLHA,12.96180,77.66895,1,1
CENTRA,10.30401,123.94019,1,1
CENTRE,19.08349,72.89660,1,1
CENTRO,32.82257,-115.67348,1,1
CHANDE,61.12538,-146.35229,1,1
CHANGI,1.31435,104.02599,1,1
CHANNE,29.27240,-89.35198,1,1
CHEATH,37.28433,-76.61672,1,1
CHENA,36.57167,-89.20135,1,1
CHERBO,49.65302,-1.63249,1,1
CHIEN,11.88438,109.20854,1,1
CHILE,-41.47966,-72.95371,1,1
CHIMBO,-9.11987,-78.55922,1,1
CHINES,36.09577,120.31319,1,1
CHINQU,-41.49804,-72.98852,1,1
CHIPPE,36.44297,-88.08020,1,1
CHOCTA,30.50677,-86.95375,1,1
CIMARR,36.44307,-88.07993,1,1
CINCIN,39.13604,-84.48004,1,1
CITY,30.17359,-85.74987,1,1
CLASS,39.37403,127.43903,1,1
CLAVER,-3.73364,-73.24008,1,1
CLINIC,32.73045,-117.21737,1,1
CLOSED,17.14976,-61.79260,1,1
CLUB,-33.04685,-71.62067,1,1
CLUB,36.58794,-121.83943,1,1
CLUB,51.43542,-0.39370,1,1
CLYDE,56.06092,-4.82110,1,1
COCHAB,-17.38285,-66.14317,1,1
COCHIN,9.94890,76.27749,1,1
COLEGI,-23.01649,-44.32912,1,1
COLLEG,50.35718,-3.58455,1,1
COLOMB,-4.21294,-69.94407,1,1
COLON,9.36391,-79.95067,1,1
COLONY,19.13215,72.92428,1,1
COLWOO,48.44546,-123.45608,1,1
COMFLO,22.52447,89.58695,1,1
COMPAN,4.07187,9.01432,1,1
COMPAN,7.99053,117.07210,1,1
CONCON,-32.94925,-71.47882,1,1
CONFID,28.41542,-80.62186,1,1
CONTRO,50.36926,-4.22709,1,1
CORMOR,32.77346,-79.94536,1,1
CORNER,44.96724,-63.98541,1,1
CORONA,32.66806,-117.15801,1,1
CORTES,15.82665,-87.93236,1,1
CORTEZ,24.47654,-111.82156,1,1
CORUNA,43.48121,-8.23950,1,1
COTONO,6.34908,2.43226,1,1
COULPO,56.05641,-4.86592,1,1
COUPEV,48.18886,-122.63156,1,1
COUREL,38.53623,-28.65742,1,1
COURT,5.64752,0.02235,1,1
COVE,44.56894,-64.10028,1,1
COVE,44.58653,-63.54832,1,1
COVE,44.58759,-64.06928,1,1
CRANE,38.75027,-86.79244,1,1
CRANE,38.83253,-86.79204,1,1
CREEK,36.78843,-76.31481,1,1
CREEK,48.19597,-121.92281,1,1
CRUZ,-0.74663,-90.31177,1,1
CUAREN,23.76251,-103.90455,1,1
CULDRO,50.08279,-5.25237,1,1
CUNANA,10.02105,118.79379,1,1
CYPRES,30.34614,-87.26509,1,1
DAHLGR,38.33247,-77.03725,1,1
DAILY,30.33888,-88.57895,1,1
DAKSHI,6.03689,80.22757,1,1
DAUNTL,30.34466,-87.26566,1,1
DECISI,30.34564,-87.26446,1,1
DECK,50.08756,-5.24936,1,1
DELGAD,8.05778,-69.33037,1,1
DELTA,5.51417,5.74146,1,1
DESIGN,36.92035,-76.31566,1,1
DETACH,10.06625,118.75571,1,1
DETACH,38.67859,-76.34368,1,1
DEVELO,40.01884,128.15781,1,1
DEVONP,-36.82798,174.78659,1,1
DEVONP,50.36800,-4.18316,1,1
DEVONP,50.38877,-4.19066,1,1
DHABI,24.48769,54.38517,1,1
DHABI,24.52122,54.39571,1,1
DIAMON,26.45889,-81.95433,1,1
DIAS,-22.91432,-43.28351,1,1
DIEGO,32.67490,-117.11455,1,1
DIEGO,32.72588,-117.14511,1,1
DILIGE,30.34420,-87.26624,1,1
DISTRI,-23.59373,-46.64671,1,1
DISTRI,-22.89721,-43.17845,1,1
DISTRI,-18.98764,-57.72349,1,1
DISTRI,-12.97487,-38.51547,1,1
DISTRI,-1.46479,-48.50388,1,1
DIVISI,33.92447,-117.56943,1,1
DIVISI,38.97499,-77.19297,1,1
DIXON,18.46042,-66.11547,1,1
DIXON,38.37289,-121.77692,1,1
DJIBOU,11.59265,43.06049,1,1
DONG,41.32207,129.77370,1,1
DOYLE,18.45953,-66.11570,1,1
DRIVE,32.72496,-117.21964,1,1
DUNE,54.17712,12.12107,1,1
EAGLE,41.34486,-72.08993,1,1
EARLE,40.32662,-74.13851,1,1
EARLE,40.44487,-74.05581,1,1
EARLE,40.46705,-74.03903,1,1
EAST,-33.85403,151.21122,1,1
EAST,25.13663,121.74697,1,1
EAST,34.06852,-80.96357,1,1
ECOLE,48.27918,-4.41927,1,1
ECUADO,-2.21554,-79.88694,1,1
ECUADO,-2.15780,-79.87812,1,1
EILAT,29.54445,34.94998,1,1
ELARA,9.71202,79.85853,1,1
ELECTR,19.04864,-95.97202,1,1
ELEDER,56.80953,-132.97226,1,1
ELINKI,12.50315,-16.66330,1,1
EMIRI,25.03124,51.63798,1,1
ENGINE,41.35145,-95.95926,1,1
ENSENA,32.37051,-117.06375,1,1
EPITAC,-21.76075,-52.09686,1,1
ESCALE,11.60187,43.13733,1,1
ESCUAD,-33.03099,-71.62964,1,1
ESPORA,-38.73423,-62.16043,1,1
ESQUIM,48.42964,-123.43099,1,1
ESTABL,58.57619,-3.75794,1,1
ESTACI,39.54810,2.62111,1,1
ESTEVE,10.59853,-67.02693,1,1
ESTREC,-2.45421,-72.68099,1,1
EVERET,47.98730,-122.22383,1,1
EXERCI,-36.17272,175.89477,1,1
EZHIMA,12.03292,75.19801,1,1
FAC,38.55901,-77.05388,1,1
