# Heliports carrying a real ICAO code. Source: OpenStreetMap (ODbL), via fetch_osm.py.
# GENERATED by tools/poi/build_poi.py -- do not hand-edit; edit the generator or refetch.
# Unnamed rooftop and hospital pads are deliberately excluded: a pictogram with no usable
# identifier beside it tells the wearer nothing.
# Columns: code,lat,lon,type,flags   (type 0 = airfield, flags 2 = helipad, +1 = military)
code,lat,lon,type,flags
EGVF,50.83483,-1.16879,0,2
EHAD,53.45093,5.68236,0,2
EHAK,55.39889,3.81000,0,2
EHBL,55.28472,4.09667,0,2
EHFB,54.94472,4.57250,0,2
EHFC,54.85306,4.72611,0,2
EHFD,54.85317,4.69483,0,2
EHFE,54.98528,4.90000,0,2
EHHA,52.41472,4.80470,0,2
EHHE,53.46118,6.81386,0,2
EHHW,54.03687,6.04186,0,2
EHMA,53.49111,5.94134,0,2
EHSO,53.47315,6.19470,0,2
EHTP,51.95938,4.08993,0,2
EHTS,53.38413,5.27810,0,2
EHVL,53.29695,5.08540,0,2
EHYP,52.46989,4.59346,0,2
EKAO,54.89068,10.39858,0,2
EKCB,56.13464,10.08045,0,2
EKEH,55.47415,8.45789,0,2
EKFA,61.54369,-6.77442,0,2
EKHI,62.33023,-6.27650,0,2
EKHL,55.49666,8.91088,0,2
EKKH,55.50480,9.48360,0,2
EKKU,62.31718,-6.31332,0,2
EKKV,62.21764,-6.57637,0,2
EKMS,62.10215,-7.64589,0,2
EKOH,55.38451,10.36394,0,2
EKRB,55.09055,14.70831,0,2
EKRC,55.59099,12.12098,0,2
EKRC,55.63469,12.09041,0,2
EKRH,55.69667,12.56676,0,2
EKSE,55.40060,11.37288,0,2
EKSG,55.54394,10.63572,0,2
EKSH,56.19077,10.17486,0,2
EKSK,56.55730,8.97586,0,2
EKSO,62.27664,-6.34146,0,2
EKSR,61.68533,-6.75845,0,2
EKSY,61.76956,-6.80345,0,2
EKTR,56.19296,10.16754,0,2
ELEA,49.50089,5.98215,0,2
ELLC,49.61928,6.10254,0,2
ELLK,49.63261,6.17710,0,2
ELLZ,49.60343,6.12814,0,2
ENAH,60.62995,8.56698,0,2
ENAR,58.46746,8.75406,0,2
ENAX,62.46296,6.31244,0,2
ENBA,78.10084,14.20597,0,2
ENBE,59.19060,2.35806,0,2
ENBG,60.37987,5.34617,0,2
ENBH,60.33243,5.23210,0,2
ENBI,60.40928,5.31707,0,2
ENBJ,74.50426,19.00256,0,2
ENBX,60.37314,5.35831,0,2
ENDB,62.06887,9.12120,0,2
ENDH,59.74781,10.19744,0,2
ENDP,58.18826,2.47121,0,2
ENDR,64.35556,7.79167,0,2
ENEH,58.46463,6.01773,0,2
ENEL,60.87676,11.56969,0,2
ENFB,61.20641,1.82888,0,2
ENFD,61.45572,5.88612,0,2
ENFJ,60.76572,4.73303,0,2
ENGA,61.17519,2.18625,0,2
ENGC,61.21406,2.27098,0,2
ENHE,65.32556,7.31583,0,2
ENHM,59.56667,2.23333,0,2
ENHO,76.50812,25.01376,0,2
ENHR,68.77963,16.59548,0,2
ENHX,59.40873,5.27962,0,2
ENJS,58.83528,2.54556,0,2
ENLA,57.11038,2.84423,0,2
ENLE,56.53330,3.21667,0,2
ENLG,61.89907,6.61913,0,2
ENLH,61.11325,10.47216,0,2
ENLX,59.93214,10.98689,0,2
ENNE,66.03333,8.08333,0,2
ENNH,64.46998,11.50415,0,2
ENOA,60.49125,2.82490,0,2
ENOC,60.60782,2.77392,0,2
ENPY,78.65231,16.33715,0,2
ENQA,60.64513,3.72481,0,2
ENQB,60.77390,3.50139,0,2
ENQC,60.88582,3.60974,0,2
ENQD,60.54204,3.04510,0,2
ENQE,60.70000,2.93361,0,2
ENQF,60.78209,2.89596,0,2
ENQG,61.20211,2.19883,0,2
ENQJ,61.33167,3.89500,0,2
ENQK,61.07955,2.49736,0,2
