# Sea ports, keyed by UN/LOCODE. Source: marchah/sea-ports (MIT).
# Columns: code,lat,lon,type,flags
# flags is a bitfield: 1 = military, 2 = helipad (rotorcraft only). It picks the pictogram
# on the dial -- see render/SiteGlyph.kt -- and nothing else; ranking is by type alone.
# No record carries flag 1 yet. The source has no navy field, and a LOCODE names a place
# rather than a facility -- USSAN is San Diego the commercial port, which also happens to
# host a fleet, and JPYOK is Yokohama, not the naval base at Yokosuka (JPYOS). Flagging
# these from memory is how you ship a warship glyph on a container terminal, so they stay
# civil until someone checks each one. The warship silhouette is wired up and tested.
code,lat,lon,type,flags
BRSAL,-22.88987,-49.98361,1,0
BRSFS,-26.25841,-48.63485,1,0
BRSPB,-22.92000,-43.82000,1,0
BRSSA,-12.97304,-38.50230,1,0
BRSSO,-23.80635,-45.40165,1,0
BRSSZ,-23.95000,-46.33000,1,0
BRSTM,-2.45063,-54.70092,1,0
BRSUA,-8.35366,-34.95755,1,0
BRVDC,-14.85000,-40.85000,1,0
BRVIC,-7.27000,-34.90000,1,0
BRVIX,-20.29762,-40.29578,1,0
BRVLC,-1.53000,-48.75000,1,0
BSFPO,26.54161,-78.64555,1,0
BSNAS,25.08000,-77.35000,1,0
BYMSQ,53.90454,27.56152,1,0
BZBZE,17.50457,-88.19621,1,0
CABAT,47.61835,-65.65134,1,0
CABCK,44.58952,-75.68429,1,0
CABDU,45.40000,-73.92000,1,0
CABEC,46.33000,-72.43000,1,0
CABJO,50.30000,-62.83000,1,0
CABRL,43.32552,-79.79903,1,0
CACAL,51.03000,-114.07000,1,0
CACBK,48.95000,-57.93000,1,0
CACCB,48.73731,-123.62155,1,0
CACOL,44.50077,-80.21690,1,0
CACRO,48.86384,-123.64580,1,0
CACWL,45.02128,-74.73034,1,0
CADOR,45.45032,-73.75005,1,0
CADRU,45.88029,-72.48428,1,0
CAEDM,53.54439,-113.49093,1,0
CAHAL,44.64886,-63.57532,1,0
CAHAM,43.25002,-79.86609,1,0
CAHMC,49.13000,-123.85000,1,0
CAKVL,42.03628,-82.73898,1,0
CAMAG,45.26649,-72.14799,1,0
CAMNT,46.08782,-64.77823,1,0
CAMTR,45.50169,-73.56726,1,0
CANIA,43.08956,-79.08494,1,0
CANNO,49.16588,-123.94006,1,0
CANOR,46.30000,-79.45000,1,0
CANWE,49.20572,-122.91096,1,0
CAOAK,43.46752,-79.68767,1,0
CAODE,44.27704,-76.71829,1,0
CAOSH,43.89709,-78.86579,1,0
CAPCR,43.55162,-79.58563,1,0
CAPDV,42.78652,-80.20328,1,0
CAPML,49.52175,-123.48806,1,0
CAPOI,45.43000,-73.73000,1,0
CAPRR,54.31504,-130.32082,1,0
CAQUE,46.80328,-71.24280,1,0
CASAK,52.13321,-106.67005,1,0
CASCA,43.17000,-79.23000,1,0
CASJB,45.27000,-66.07000,1,0
CASJF,47.57000,-52.73000,1,0
CASNI,42.97454,-82.40659,1,0
CASOR,46.04283,-73.11230,1,0
CASSM,46.52186,-84.34609,1,0
CASTC,43.22722,-79.71956,1,0
CASUM,46.39338,-63.79023,1,0
CATEX,49.65966,-124.41219,1,0
CATHU,48.38090,-89.24768,1,0
CATOR,43.65323,-79.38318,1,0
CATRR,46.35924,-72.54753,1,0
CATTC,44.10113,-77.57631,1,0
CAVAN,49.28273,-123.12074,1,0
CAVLF,45.25000,-74.13000,1,0
CAWIN,43.20796,-79.65092,1,0
CAWNP,49.89975,-97.13749,1,0
CDBOA,13.02288,-5.83472,1,0
CDMAT,13.45099,-5.82379,1,0
CGPNR,-4.76916,11.86636,1,0
CIABJ,5.35995,-4.00826,1,0
CISPY,4.73000,-6.62000,1,0
CLANF,-23.63000,-70.38000,1,0
CLARI,-18.48000,-70.32000,1,0
CLBAG,-52.62000,-70.13000,1,0
CLBAR,-26.35000,-70.63000,1,0
CLCAP,43.38131,-4.39706,1,0
CLCBC,-41.75000,-73.13000,1,0
CLCCL,-18.43504,-70.29372,1,0
CLCHB,-45.48000,-72.82000,1,0
CLCLD,-27.03000,-70.80000,1,0
CLCNL,-37.02000,-73.15000,1,0
CLCNR,-26.35000,-70.62000,1,0
CLCNX,-52.97000,-70.85000,1,0
CLCQQ,-29.97000,-71.33000,1,0
CLCRR,-39.87000,-73.43000,1,0
CLDCH,-42.38000,-73.67000,1,0
CLGYC,-29.98000,-71.37000,1,0
CLHSO,-28.45000,-71.22000,1,0
CLIPC,-27.15000,-109.42000,1,0
CLIQQ,-20.22000,-70.13000,1,0
CLJRL,-73.22652,-36.97214,1,0
CLLOS,-31.90000,-71.50000,1,0
CLLQN,-36.70000,-72.98000,1,0
CLLVS,-33.27000,-71.65000,1,0
CLMCH,-22.71831,-70.27769,1,0
CLMJS,-23.10000,-70.45000,1,0
CLPAG,-23.08000,-70.45000,1,0
CLPCH,-45.48000,-72.83000,1,0
CLPEO,-36.72000,-72.98000,1,0
CLPGO,-71.50386,-31.88555,1,0
CLPMC,-41.47000,-72.95000,1,0
CLPNT,-51.72000,-72.50000,1,0
CLPPC,-20.82000,-70.22000,1,0
CLPPD,-70.84190,-27.05229,1,0
CLPTE,-43.10000,-73.62000,1,0
CLPTI,-20.75000,-70.18000,1,0
CLPUQ,-53.13000,-70.93000,1,0
CLQMC,-42.13000,-73.48000,1,0
CLQTV,-32.77000,-71.53000,1,0
CLSAI,-33.60000,-71.60000,1,0
CLSVE,-36.70000,-73.13000,1,0
CLTAL,-36.73000,-73.12000,1,0
CLTHO,-36.72478,-73.11698,1,0
CLTOM,-36.60000,-72.95000,1,0
CLTOQ,-22.08000,-70.18000,1,0
CLTTC,-25.40000,-70.47000,1,0
CLVAP,-33.03000,-71.63000,1,0
CLWCA,-42.47000,-73.77000,1,0
CLWCH,-42.92000,-72.70000,1,0
CLWPA,-45.38000,-72.70000,1,0
CLWPU,-54.92000,-67.62000,1,0
CLZUD,-41.85000,-73.83000,1,0
CMDLA,4.05106,9.76787,1,0
CNBAY,40.23064,122.10781,1,0
CNBHY,22.81548,108.32755,1,0
CNBJO,26.35000,119.92000,1,0
CNCAN,23.12911,113.26439,1,0
CNCGU,31.65369,120.75250,1,0
CNCKG,29.56301,106.55156,1,0
CNCOZ,23.67000,116.63000,1,0
CNCSX,28.22821,112.93881,1,0
CNCTU,30.57227,104.06654,1,0
CNCWN,22.48000,113.88000,1,0
CNDAA,33.18919,120.10347,1,0
CNDAL,38.91400,121.61468,1,0
CNDGG,23.02054,113.75177,1,0
CNDLC,38.91400,121.61468,1,0
CNDOU,22.20000,113.28000,1,0
CNFAN,21.77000,108.35000,1,0
CNFNG,22.65000,113.78000,1,0
CNFOS,23.03000,113.10000,1,0
CNFUG,25.72038,119.38381,1,0
CNGGY,23.40331,113.21836,1,0
CNGOG,22.78000,113.87000,1,0
CNGOM,22.88000,112.83000,1,0
CNGUG,23.10000,109.60000,1,0
CNHAK,20.04400,110.19829,1,0
CNHDU,23.40000,113.22000,1,0
CNHEB,39.88000,115.27000,1,0
CNHGH,30.27408,120.15507,1,0
CNHME,32.10416,121.45308,1,0
CNHMN,22.83000,113.67000,1,0
CNHSN,22.77000,112.95000,1,0
CNHUA,23.10690,113.45971,1,0
CNHUD,40.75000,120.85000,1,0
CNHUI,23.08000,114.37000,1,0
CNJGZ,30.35000,112.18000,1,0
CNJIA,31.90000,120.28000,1,0
CNJIN,27.12000,114.97000,1,0
CNJIU,29.72000,115.97000,1,0
CNJMN,22.58000,113.07000,1,0
CNJNZ,41.12000,121.15000,1,0
CNJXN,22.70248,113.31369,1,0
CNJZU,24.28862,116.12224,1,0
CNKHN,28.68289,115.85820,1,0
CNKMG,24.88010,102.83289,1,0
CNKPN,39.70000,118.30000,1,0
CNLAN,22.97016,113.98159,1,0
CNLGH,22.63964,114.02092,1,0
CNLIH,23.02000,115.27000,1,0
CNLKU,37.65000,120.35000,1,0
CNLSI,26.15000,113.60000,1,0
CNLYG,34.72000,119.43000,1,0
CNLZH,23.32000,109.40000,1,0
CNMAW,25.98000,119.45000,1,0
CNMMI,21.66300,110.92546,1,0
CNMWN,22.45000,113.88000,1,0
CNMYG,31.50000,104.70000,1,0
CNNAH,23.02000,113.15000,1,0
CNNBO,29.86834,121.54399,1,0
CNNGB,29.86834,121.54399,1,0
CNNGG,23.03727,113.20045,1,0
CNNKG,32.06025,118.79688,1,0
CNNNG,22.81700,108.36654,1,0
CNNSA,22.75000,113.58000,1,0
CNNTG,32.02000,120.85000,1,0
CNPNY,22.95000,113.37000,1,0
CNPUT,24.43000,119.02000,1,0
CNQAW,36.05000,120.22000,1,0
CNQIN,36.06712,120.38261,1,0
CNQYN,23.68176,113.05603,1,0
CNQZJ,24.93000,118.60000,1,0
CNROQ,22.78000,113.27000,1,0
CNRZH,35.38000,119.53000,1,0
CNSBU,22.36821,112.71619,1,0
CNSDG,21.52000,111.00000,1,0
CNSGH,31.23042,121.47370,1,0
CNSHA,31.23042,121.47370,1,0
CNSHK,22.48000,113.92000,1,0
CNSHP,39.92000,119.58000,1,0
CNSIN,22.91900,113.61779,1,0
CNSJQ,23.17000,112.87000,1,0
CNSNW,22.28153,113.36408,1,0
CNSSH,23.03600,113.24133,1,0
CNSUD,22.83000,113.25000,1,0
CNSWA,23.13219,113.26653,1,0
CNSWE,22.78000,115.35000,1,0
CNSZX,22.55526,113.88402,1,0
CNTAG,31.45773,121.13055,1,0
CNTAO,36.06712,120.38261,1,0
CNTAP,21.03000,110.17000,1,0
CNTHG,22.25000,112.78000,1,0
CNTSN,39.08416,117.20098,1,0
CNTXG,38.98000,117.70000,1,0
CNTZO,32.48000,119.90000,1,0
CNWAZ,22.18000,113.52000,1,0
CNWEI,37.52000,122.12000,1,0
CNWHI,31.32000,118.37000,1,0
CNWNZ,27.99427,120.69937,1,0
CNWUH,30.59310,114.30539,1,0
CNXAB,24.05976,114.20687,1,0
CNXAM,24.47983,118.08943,1,0
CNXGA,39.00651,117.68493,1,0
CNXGG,39.00651,117.68493,1,0
CNXIL,22.67139,113.25140,1,0
CNXIN,22.53000,113.02000,1,0
CNXIT,23.12000,113.62000,1,0
CNXMN,24.47983,118.08943,1,0
CNYAN,29.47670,121.86934,1,0
CNYIC,30.70000,111.28000,1,0
CNYIK,40.65000,122.22000,1,0
CNYJI,21.83000,111.97000,1,0
CNYNF,22.91509,112.04449,1,0
CNYNT,37.46382,121.44794,1,0
CNYPG,19.70000,109.20000,1,0
CNYQS,22.92831,113.20719,1,0
CNYTG,37.46382,121.44794,1,0
CNYTN,26.85000,119.87000,1,0
CNYZH,32.38000,119.43000,1,0
CNZAP,30.60355,121.09559,1,0
CNZHA,23.13219,113.26653,1,0
CNZHE,32.18000,119.45000,1,0
CNZJG,31.87000,120.53000,1,0
CNZOS,29.98529,122.20722,1,0
CNZQG,23.05000,112.45000,1,0
CNZSN,22.52000,113.37000,1,0
CNZUH,22.28000,113.57000,1,0
COBAQ,11.00411,-74.80698,1,0
COBUN,3.88305,-77.01972,1,0
COCTG,10.39105,-75.47943,1,0
COPBO,10.68000,-74.73000,1,0
COSMR,11.24035,-74.21102,1,0
COTCO,1.80009,-78.80209,1,0
CRCAL,9.95000,-84.72000,1,0
CRGLF,8.65000,-83.15000,1,0
CRLIO,10.00000,-83.03000,1,0
CRMOB,10.00000,-83.08000,1,0
CRPAS,9.97000,-84.83000,1,0
CRPCA,9.93285,-84.08694,1,0
CRSJO,9.93000,-84.08000,1,0
CUHAV,23.12000,-82.35000,1,0
CUMAR,23.00000,-82.75000,1,0
CUQMA,22.57671,-81.33994,1,0
CUSCU,20.01693,-75.83015,1,0
CVMIN,16.88000,-25.00000,1,0
CVPAL,16.75827,-22.97886,1,0
CVRAI,14.93305,-23.51333,1,0
CYLMS,34.68000,33.05000,1,0
CYNIC,35.17000,33.37000,1,0
CYPFO,34.77000,32.42000,1,0
DEBEZ,48.12140,7.74253,1,0
DEBIN,49.97000,7.88000,1,0
DEBKE,53.33000,8.48000,1,0
DEBOY,52.20846,8.80097,1,0
DEBRA,53.55000,8.70000,1,0
DEBRB,53.89889,9.13389,1,0
DEBRE,53.07930,8.80169,1,0
DEBRV,53.53958,8.58094,1,0
DEBSK,54.41920,11.19255,1,0
DECGN,50.95000,6.93000,1,0
DECUX,53.88000,8.70000,1,0
DEDUS,51.23000,6.78000,1,0
DEELS,53.23000,8.47000,1,0
DEEME,53.37000,7.22000,1,0
DEFLF,54.79374,9.44700,1,0
DEHAM,53.55108,9.99368,1,0
DEHBU,53.46078,9.98342,1,0
DEHMM,51.68000,7.80000,1,0
DEKEL,54.33000,10.13000,1,0
DEKGU,49.55640,10.95569,1,0
DEKHO,49.21782,9.21161,1,0
DELBC,53.86547,10.68656,1,0
DELEE,53.23566,7.46790,1,0
DEMHG,49.48000,8.45000,1,0
DENHA,53.50000,8.48000,1,0
DENOR,54.51089,8.92465,1,0
DEPFR,47.57664,10.52644,1,0
DERSK,54.08000,12.13000,1,0
DEWED,53.58238,9.71375,1,0
DEWOR,49.63414,8.35072,1,0
DEWVN,53.52000,8.13000,1,0
DJJIB,11.57208,43.14565,1,0
DJPOD,11.57208,43.14565,1,0
DKAAL,57.04882,9.92175,1,0
DKAAR,56.15000,10.22000,1,0
